version,description,n_words,average_vocabulary_size,total_testing_documents,total_correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall
bare,"No lemmatization, stop-words included",50,50.0,2893,2712,0.9374351883857587,427,2285,127,54,0.7707581227436823,0.8877338877338877
bare,"No lemmatization, stop-words included",100,100.0,2893,2757,0.9529899758036641,437,2320,92,44,0.8260869565217391,0.9085239085239085
bare,"No lemmatization, stop-words included",500,500.0,2893,2804,0.9692360871068095,458,2346,66,23,0.8740458015267175,0.9521829521829522
bare,"No lemmatization, stop-words included",1000,1000.0,2893,2828,0.9775319737296924,469,2359,53,12,0.8984674329501916,0.975051975051975
bare,"No lemmatization, stop-words included",5000,5000.0,2893,2850,0.9851365364673349,473,2377,35,8,0.9311023622047244,0.9833679833679834
bare,"No lemmatization, stop-words included",all,51705.3,2893,2865,0.9903214656066367,475,2390,22,6,0.9557344064386318,0.9875259875259875
stop,"No lemmatization, stop-words removed",50,50.0,2893,2743,0.9481507086069824,419,2324,88,62,0.8264299802761341,0.8711018711018711
stop,"No lemmatization, stop-words removed",100,100.0,2893,2795,0.9661251296232285,441,2354,58,40,0.8837675350701403,0.9168399168399168
stop,"No lemmatization, stop-words removed",500,500.0,2893,2834,0.979605945385413,457,2377,35,24,0.9288617886178862,0.9501039501039501
stop,"No lemmatization, stop-words removed",1000,1000.0,2893,2848,0.9844452125820947,462,2386,26,19,0.9467213114754098,0.9604989604989606
stop,"No lemmatization, stop-words removed",5000,5000.0,2893,2858,0.9879018320082958,468,2390,22,13,0.9551020408163265,0.972972972972973
stop,"No lemmatization, stop-words removed",all,51684.6,2893,2870,0.9920497753197373,470,2400,12,11,0.975103734439834,0.9771309771309772
lemm,"Lemmatized, stop-words included",50,50.0,2893,2733,0.9446940891807812,424,2309,103,57,0.8045540796963947,0.8814968814968815
lemm,"Lemmatized, stop-words included",100,100.0,2893,2760,0.9540269616315243,436,2324,88,45,0.8320610687022901,0.9064449064449065
lemm,"Lemmatized, stop-words included",500,500.0,2893,2807,0.9702730729346699,457,2350,62,24,0.8805394990366089,0.9501039501039501
lemm,"Lemmatized, stop-words included",1000,1000.0,2893,2826,0.9768406498444522,463,2363,49,18,0.904296875,0.9625779625779626
lemm,"Lemmatized, stop-words included",5000,5000.0,2893,2847,0.9840995506394746,468,2379,33,13,0.9341317365269461,0.972972972972973
lemm,"Lemmatized, stop-words included",all,46262.7,2893,2864,0.9899758036640166,474,2390,22,7,0.9556451612903226,0.9854469854469855
lemm_stop,"Lemmatized, stop-words removed",50,50.0,2893,2750,0.9505703422053232,394,2356,56,87,0.8755555555555555,0.8191268191268192
lemm_stop,"Lemmatized, stop-words removed",100,100.0,2893,2809,0.9709643968199101,440,2369,43,41,0.9109730848861284,0.9147609147609148
lemm_stop,"Lemmatized, stop-words removed",500,500.0,2893,2835,0.9799516073280332,458,2377,35,23,0.9290060851926978,0.9521829521829522
lemm_stop,"Lemmatized, stop-words removed",1000,1000.0,2893,2844,0.9830625648116142,462,2382,30,19,0.9390243902439024,0.9604989604989606
lemm_stop,"Lemmatized, stop-words removed",5000,5000.0,2893,2858,0.9879018320082958,466,2392,20,15,0.9588477366255144,0.9688149688149689
lemm_stop,"Lemmatized, stop-words removed",all,46244.2,2893,2865,0.9903214656066367,466,2399,13,15,0.9728601252609603,0.9688149688149689
