training_size_percent,WAcc_lambda_1,WAcc_lambda_9,WAcc_lambda_99
10,0.9858278603525752,0.9928793546351796,0.9948760599994149
20,0.9889388178361562,0.9973410248321241,0.9982237565250827
30,0.9903214656066367,0.995312992924422,0.9957829890207256
40,0.9906671275492568,0.994231375906981,0.994554246475724
50,0.9913584514344971,0.994997521294335,0.9962218256439405
60,0.9906671275492568,0.995312992924422,0.9966188683030397
70,0.9934324230902177,0.9950425886700618,0.9958038860027835
80,0.9906671275492568,0.9944567127856145,0.9962051080582942
90,0.9917041133771172,0.9941863085312542,0.9957871684171372
100,0.9920497753197373,0.994997521294335,0.995799706606372
