version,n_words,training_size_percent,lambda,average_training_documents,average_vocabulary_size,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,TCR
stop,all,10,1,261.0,14755.3,2893,481,2412,2852,0.9858278603525752,456,2396,16,25,0.9661016949152542,0.9480249480249481,0.9858278603525752,11.731707317073171
stop,all,10,9,261.0,14755.3,2893,481,2412,2847,0.9840995506394746,449,2398,14,32,0.9697624190064795,0.9334719334719335,0.9928793546351796,3.0443037974683542
stop,all,10,99,261.0,14755.3,2893,481,2412,2843,0.9827169028689942,443,2400,12,38,0.9736263736263736,0.920997920997921,0.9948760599994149,0.3923327895595432
stop,all,20,1,522.0,21460.3,2893,481,2412,2861,0.9889388178361562,460,2401,11,21,0.9766454352441614,0.9563409563409564,0.9889388178361562,15.03125
stop,all,20,9,522.0,21460.3,2893,481,2412,2866,0.9906671275492568,458,2408,4,23,0.9913419913419913,0.9521829521829522,0.9973410248321241,8.152542372881356
stop,all,20,99,522.0,21460.3,2893,481,2412,2860,0.9885931558935361,452,2408,4,29,0.9912280701754386,0.9397089397089398,0.9982237565250827,1.131764705882353
stop,all,30,1,783.0,26013.2,2893,481,2412,2865,0.9903214656066367,468,2397,15,13,0.968944099378882,0.972972972972973,0.9903214656066367,17.178571428571427
stop,all,30,9,783.0,26013.2,2893,481,2412,2869,0.9917041133771172,467,2402,10,14,0.9790356394129979,0.9708939708939709,0.995312992924422,4.625
stop,all,30,99,783.0,26013.2,2893,481,2412,2864,0.9899758036640166,462,2402,10,19,0.9788135593220338,0.9604989604989606,0.9957829890207256,0.4767096134786918
stop,all,40,1,1044.0,32142.2,2893,481,2412,2866,0.9906671275492568,470,2396,16,11,0.9670781893004116,0.9771309771309772,0.9906671275492568,17.814814814814813
stop,all,40,9,1044.0,32142.2,2893,481,2412,2869,0.9917041133771172,470,2399,13,11,0.9730848861283644,0.9771309771309772,0.994231375906981,3.7578125
stop,all,40,99,1044.0,32142.2,2893,481,2412,2864,0.9899758036640166,465,2399,13,16,0.9728033472803347,0.9667359667359667,0.994554246475724,0.36914811972371453
stop,all,50,1,1298.7,35393.8,2893,481,2412,2868,0.9913584514344971,469,2399,13,12,0.9730290456431535,0.975051975051975,0.9913584514344971,19.24
stop,all,50,9,1298.7,35393.8,2893,481,2412,2870,0.9920497753197373,469,2401,11,12,0.9770833333333333,0.975051975051975,0.994997521294335,4.333333333333333
stop,all,50,99,1298.7,35393.8,2893,481,2412,2871,0.9923954372623575,468,2403,9,13,0.9811320754716981,0.972972972972973,0.9962218256439405,0.5320796460176991
stop,all,60,1,1559.7,39562.6,2893,481,2412,2866,0.9906671275492568,468,2398,14,13,0.970954356846473,0.972972972972973,0.9906671275492568,17.814814814814813
stop,all,60,9,1559.7,39562.6,2893,481,2412,2869,0.9917041133771172,467,2402,10,14,0.9790356394129979,0.9708939708939709,0.995312992924422,4.625
stop,all,60,99,1559.7,39562.6,2893,481,2412,2868,0.9913584514344971,464,2404,8,17,0.9830508474576272,0.9646569646569647,0.9966188683030397,0.5945611866501854
stop,all,70,1,1820.7,42020.1,2893,481,2412,2874,0.9934324230902177,473,2401,11,8,0.9772727272727273,0.9833679833679834,0.9934324230902177,25.31578947368421
stop,all,70,9,1820.7,42020.1,2893,481,2412,2871,0.9923954372623575,470,2401,11,11,0.9771309771309772,0.9771309771309772,0.9950425886700618,4.372727272727273
stop,all,70,99,1820.7,42020.1,2893,481,2412,2869,0.9917041133771172,467,2402,10,14,0.9790356394129979,0.9708939708939709,0.9958038860027835,0.47908366533864544
stop,all,80,1,2081.7,46469.8,2893,481,2412,2866,0.9906671275492568,468,2398,14,13,0.970954356846473,0.972972972972973,0.9906671275492568,17.814814814814813
stop,all,80,9,2081.7,46469.8,2893,481,2412,2866,0.9906671275492568,466,2400,12,15,0.9748953974895398,0.9688149688149689,0.9944567127856145,3.910569105691057
stop,all,80,99,2081.7,46469.8,2893,481,2412,2867,0.991012789491877,464,2403,9,17,0.9809725158562368,0.9646569646569647,0.9962051080582942,0.5297356828193832
stop,all,90,1,2342.7,48623.4,2893,481,2412,2869,0.9917041133771172,470,2399,13,11,0.9730848861283644,0.9771309771309772,0.9917041133771172,20.041666666666668
stop,all,90,9,2342.7,48623.4,2893,481,2412,2868,0.9913584514344971,469,2399,13,12,0.9730290456431535,0.975051975051975,0.9941863085312542,3.7286821705426356
stop,all,90,99,2342.7,48623.4,2893,481,2412,2865,0.9903214656066367,463,2402,10,18,0.9788583509513742,0.9625779625779626,0.9957871684171372,0.4771825396825397
stop,all,100,1,2603.7,51684.6,2893,481,2412,2870,0.9920497753197373,470,2400,12,11,0.975103734439834,0.9771309771309772,0.9920497753197373,20.91304347826087
stop,all,100,9,2603.7,51684.6,2893,481,2412,2870,0.9920497753197373,469,2401,11,12,0.9770833333333333,0.975051975051975,0.994997521294335,4.333333333333333
stop,all,100,99,2603.7,51684.6,2893,481,2412,2868,0.9913584514344971,466,2402,10,15,0.9789915966386554,0.9688149688149689,0.995799706606372,0.4786069651741294
